WORD: desert, FREQ: 1
WORD: minefield, FREQ: 1
WORD: hired, FREQ: 1
WORD: lookout, FREQ: 1
WORD: unexploded, FREQ: 1
WORD: cause, FREQ: 1
WORD: ruapehu, FREQ: 1
WORD: lifting, FREQ: 1
WORD: pinnacles, FREQ: 1
WORD: tried, FREQ: 1
WORD: entrance, FREQ: 1
WORD: stressing, FREQ: 1
WORD: word, FREQ: 1
WORD: smoked, FREQ: 1
WORD: pipe, FREQ: 1
WORD: mostly, FREQ: 1
WORD: arrived, FREQ: 1
WORD: twizel, FREQ: 1
WORD: horseback, FREQ: 1
WORD: imagery, FREQ: 1
WORD: recapture, FREQ: 1
WORD: wrapped, FREQ: 1
WORD: hiding, FREQ: 1
WORD: ringwraith, FREQ: 1
WORD: inhabitants, FREQ: 1
WORD: bowing, FREQ: 1
WORD: car, FREQ: 1
WORD: blue, FREQ: 1
WORD: screens, FREQ: 1
WORD: ready, FREQ: 1
WORD: continued, FREQ: 1
WORD: farewells, FREQ: 1
WORD: rushed, FREQ: 1
WORD: unit, FREQ: 1
WORD: geoff, FREQ: 1
WORD: murphy, FREQ: 1
WORD: meant, FREQ: 1
WORD: wrap, FREQ: 1
WORD: pathetic, FREQ: 1
WORD: compared, FREQ: 1
WORD: uruk, FREQ: 1
WORD: hai, FREQ: 1
WORD: watching, FREQ: 1
WORD: grotesque, FREQ: 1
WORD: über, FREQ: 1
WORD: antagonists, FREQ: 1
WORD: confusion, FREQ: 1
WORD: whether, FREQ: 1
WORD: positive, FREQ: 1
WORD: appeared, FREQ: 1
WORD: drinking, FREQ: 1
WORD: escaping, FREQ: 1
WORD: finishing, FREQ: 1
WORD: props, FREQ: 1
WORD: burned, FREQ: 1
WORD: prosthetic, FREQ: 1
WORD: headbutted, FREQ: 1
WORD: goodbye, FREQ: 1
WORD: ended, FREQ: 1
WORD: afterwards, FREQ: 1
WORD: realises, FREQ: 1
WORD: intends, FREQ: 1
WORD: rolling, FREQ: 1
WORD: piece, FREQ: 1
WORD: noted, FREQ: 1
WORD: collins, FREQ: 1
WORD: dailies, FREQ: 1
WORD: example, FREQ: 1
WORD: seconds, FREQ: 1
WORD: longtime, FREQ: 1
WORD: collaborator, FREQ: 1
